,Unnamed: 0,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,person_age_bin,person_income_bin,person_emp_length_bin,cb_person_cred_hist_length_bin,loan_amnt_bin,loan_percent_income_bin,loan_intent_bin
24,28,24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,person_age_Bin2,person_income_Bin4,person_emp_length_Bin4,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,HOMEIMPROVEMENT_MEDICAL
25,29,21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2,person_age_Bin1,person_income_Bin1,person_emp_length_Bin4,cb_person_cred_hist_length_Bin1,loan_amnt_Bin1,loan_percent_income_Bin5,EDUCATION
26,30,21,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3,person_age_Bin1,person_income_Bin1,person_emp_length_Bin4,cb_person_cred_hist_length_Bin1,loan_amnt_Bin1,loan_percent_income_Bin3,HOMEIMPROVEMENT_MEDICAL
27,31,25,120000,RENT,2.0,VENTURE,A,32000,6.62,0,0.27,N,2,person_age_Bin3,person_income_Bin5,person_emp_length_Bin2,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin4,VENTURE
28,32,26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3,person_age_Bin4,person_income_Bin5,person_emp_length_Bin4,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,HOMEIMPROVEMENT_MEDICAL
29,35,21,12000,OWN,5.0,EDUCATION,A,2500,7.51,1,0.21,N,4,person_age_Bin1,person_income_Bin1,person_emp_length_Bin4,cb_person_cred_hist_length_Bin1,loan_amnt_Bin1,loan_percent_income_Bin3,EDUCATION
30,36,22,48000,RENT,1.0,EDUCATION,E,30000,18.39,1,0.63,N,2,person_age_Bin1,person_income_Bin3,person_emp_length_Bin1,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,EDUCATION
31,37,24,64000,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,Y,3,person_age_Bin2,person_income_Bin4,person_emp_length_Bin4,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,DEBTCONSOLIDATION
32,38,25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,person_age_Bin3,person_income_Bin4,person_emp_length_Bin3,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,HOMEIMPROVEMENT_MEDICAL
33,39,23,71500,RENT,3.0,DEBTCONSOLIDATION,D,30000,16.959599999999952,1,0.42,N,4,person_age_Bin2,person_income_Bin4,person_emp_length_Bin3,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,DEBTCONSOLIDATION
34,40,26,62050,RENT,6.0,MEDICAL,E,30000,17.99,1,0.41,N,2,person_age_Bin4,person_income_Bin4,person_emp_length_Bin4,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,HOMEIMPROVEMENT_MEDICAL
35,41,24,12000,OWN,4.0,VENTURE,B,2500,12.69,1,0.21,N,3,person_age_Bin2,person_income_Bin1,person_emp_length_Bin3,cb_person_cred_hist_length_Bin1,loan_amnt_Bin1,loan_percent_income_Bin3,VENTURE
36,47,26,80690,RENT,8.0,PERSONAL,A,30000,7.49,1,0.37,N,3,person_age_Bin4,person_income_Bin5,person_emp_length_Bin4,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,PERSONAL
37,48,22,66300,RENT,4.0,MEDICAL,B,30000,12.69,1,0.38,N,3,person_age_Bin1,person_income_Bin4,person_emp_length_Bin3,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,HOMEIMPROVEMENT_MEDICAL
38,49,26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,N,3,person_age_Bin4,person_income_Bin5,person_emp_length_Bin1,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,DEBTCONSOLIDATION
39,50,24,78000,RENT,4.0,DEBTCONSOLIDATION,D,30000,15.815399999999975,1,0.38,Y,4,person_age_Bin2,person_income_Bin4,person_emp_length_Bin3,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,DEBTCONSOLIDATION
40,51,23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3,person_age_Bin2,person_income_Bin4,person_emp_length_Bin4,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,DEBTCONSOLIDATION
41,52,23,92004,RENT,6.0,PERSONAL,C,30000,15.23,1,0.33,Y,3,person_age_Bin2,person_income_Bin5,person_emp_length_Bin4,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,PERSONAL
42,53,23,97000,RENT,7.0,VENTURE,B,30000,10.65,1,0.31,N,2,person_age_Bin2,person_income_Bin5,person_emp_length_Bin4,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin4,VENTURE
43,54,25,120000,RENT,9.0,EDUCATION,A,30000,7.9,0,0.25,N,4,person_age_Bin3,person_income_Bin5,person_emp_length_Bin4,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin3,EDUCATION
44,58,25,128000,RENT,9.0,PERSONAL,A,30000,7.29,0,0.23,N,4,person_age_Bin3,person_income_Bin5,person_emp_length_Bin4,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin3,PERSONAL
45,59,24,12000,OWN,2.0,VENTURE,E,1750,16.422449999999987,0,0.15,Y,3,person_age_Bin2,person_income_Bin1,person_emp_length_Bin2,cb_person_cred_hist_length_Bin1,loan_amnt_Bin1,loan_percent_income_Bin2,VENTURE
46,60,21,131000,RENT,0.0,VENTURE,A,30000,5.99,0,0.23,N,4,person_age_Bin1,person_income_Bin5,person_emp_length_Bin1,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin3,VENTURE
47,64,22,70000,RENT,6.0,EDUCATION,D,29100,15.99,1,0.42,N,3,person_age_Bin1,person_income_Bin4,person_emp_length_Bin4,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,EDUCATION
48,65,22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.13,Y,3,person_age_Bin1,person_income_Bin1,person_emp_length_Bin4,cb_person_cred_hist_length_Bin1,loan_amnt_Bin1,loan_percent_income_Bin2,EDUCATION
49,70,25,12000,OWN,0.0,MEDICAL,C,3000,13.361249999999998,1,0.25,N,3,person_age_Bin3,person_income_Bin1,person_emp_length_Bin1,cb_person_cred_hist_length_Bin1,loan_amnt_Bin1,loan_percent_income_Bin3,HOMEIMPROVEMENT_MEDICAL
50,71,22,56950,RENT,6.0,MEDICAL,A,28000,7.644150000000009,1,0.49,N,2,person_age_Bin1,person_income_Bin4,person_emp_length_Bin4,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,HOMEIMPROVEMENT_MEDICAL
51,72,21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3,person_age_Bin1,person_income_Bin1,person_emp_length_Bin4,cb_person_cred_hist_length_Bin1,loan_amnt_Bin1,loan_percent_income_Bin3,EDUCATION
52,73,23,65000,RENT,2.0,EDUCATION,A,28000,7.9,1,0.43,N,2,person_age_Bin2,person_income_Bin4,person_emp_length_Bin2,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,EDUCATION
53,74,26,85000,RENT,2.0,VENTURE,A,28000,7.49,1,0.33,N,3,person_age_Bin4,person_income_Bin5,person_emp_length_Bin2,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,VENTURE
54,75,26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.51,N,3,person_age_Bin4,person_income_Bin1,person_emp_length_Bin2,cb_person_cred_hist_length_Bin1,loan_amnt_Bin2,loan_percent_income_Bin5,EDUCATION
55,76,22,88000,RENT,6.0,VENTURE,B,28000,9.91,1,0.32,N,3,person_age_Bin1,person_income_Bin5,person_emp_length_Bin4,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin4,VENTURE
56,77,21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4,person_age_Bin1,person_income_Bin1,person_emp_length_Bin1,cb_person_cred_hist_length_Bin1,loan_amnt_Bin1,loan_percent_income_Bin5,PERSONAL
57,78,22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2,person_age_Bin1,person_income_Bin1,person_emp_length_Bin4,cb_person_cred_hist_length_Bin1,loan_amnt_Bin1,loan_percent_income_Bin5,DEBTCONSOLIDATION
58,79,24,83004,RENT,0.0,VENTURE,D,28000,15.99,1,0.34,Y,4,person_age_Bin2,person_income_Bin5,person_emp_length_Bin1,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,VENTURE
59,82,25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3,person_age_Bin3,person_income_Bin5,person_emp_length_Bin4,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin4,DEBTCONSOLIDATION
60,83,26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0,0.25,N,2,person_age_Bin4,person_income_Bin5,person_emp_length_Bin4,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin3,EDUCATION
61,84,26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,7.898300000000015,1,0.23,N,4,person_age_Bin4,person_income_Bin1,person_emp_length_Bin1,cb_person_cred_hist_length_Bin1,loan_amnt_Bin1,loan_percent_income_Bin3,DEBTCONSOLIDATION
62,85,22,108000,RENT,6.0,EDUCATION,B,28000,11.086300000000003,1,0.26,N,4,person_age_Bin1,person_income_Bin5,person_emp_length_Bin4,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin3,EDUCATION
63,87,24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,7.744437500000007,1,0.4,N,2,person_age_Bin2,person_income_Bin4,person_emp_length_Bin2,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,HOMEIMPROVEMENT_MEDICAL
64,88,21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3,person_age_Bin1,person_income_Bin1,person_emp_length_Bin4,cb_person_cred_hist_length_Bin1,loan_amnt_Bin1,loan_percent_income_Bin4,DEBTCONSOLIDATION
65,89,22,70000,RENT,4.0,EDUCATION,C,27500,13.06,1,0.39,Y,3,person_age_Bin1,person_income_Bin4,person_emp_length_Bin3,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,EDUCATION
66,91,26,73200,RENT,5.0,VENTURE,D,27050,15.62,1,0.37,Y,2,person_age_Bin4,person_income_Bin4,person_emp_length_Bin4,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,VENTURE
67,92,24,83000,RENT,5.0,PERSONAL,C,27000,13.49,1,0.33,Y,2,person_age_Bin2,person_income_Bin5,person_emp_length_Bin4,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,PERSONAL
68,93,24,73399,RENT,0.0,VENTURE,D,27000,15.539749999999996,1,0.37,N,3,person_age_Bin2,person_income_Bin4,person_emp_length_Bin1,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,VENTURE
69,94,23,62500,RENT,7.0,MEDICAL,B,26000,11.71,1,0.42,N,2,person_age_Bin2,person_income_Bin4,person_emp_length_Bin4,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,HOMEIMPROVEMENT_MEDICAL
70,95,23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0,0.21,N,3,person_age_Bin2,person_income_Bin5,person_emp_length_Bin1,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin3,EDUCATION
71,96,24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,N,3,person_age_Bin2,person_income_Bin1,person_emp_length_Bin2,cb_person_cred_hist_length_Bin1,loan_amnt_Bin1,loan_percent_income_Bin2,HOMEIMPROVEMENT_MEDICAL
72,97,22,60000,RENT,0.0,VENTURE,B,25475,10.99,1,0.42,N,3,person_age_Bin1,person_income_Bin4,person_emp_length_Bin1,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,VENTURE
73,104,23,83000,RENT,7.0,EDUCATION,B,25300,10.99,1,0.3,N,3,person_age_Bin2,person_income_Bin5,person_emp_length_Bin4,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin4,EDUCATION
74,106,25,12600,OWN,3.0,PERSONAL,C,1750,13.61,0,0.14,N,3,person_age_Bin3,person_income_Bin1,person_emp_length_Bin3,cb_person_cred_hist_length_Bin1,loan_amnt_Bin1,loan_percent_income_Bin2,PERSONAL
75,107,21,42500,RENT,3.0,EDUCATION,C,25000,12.73,1,0.59,Y,3,person_age_Bin1,person_income_Bin3,person_emp_length_Bin3,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,EDUCATION
76,108,24,41000,RENT,2.0,HOMEIMPROVEMENT,D,25000,13.972499999999982,1,0.61,N,3,person_age_Bin2,person_income_Bin3,person_emp_length_Bin2,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,HOMEIMPROVEMENT_MEDICAL
77,109,25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4,person_age_Bin3,person_income_Bin1,person_emp_length_Bin1,cb_person_cred_hist_length_Bin1,loan_amnt_Bin1,loan_percent_income_Bin3,DEBTCONSOLIDATION
78,110,24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3,person_age_Bin2,person_income_Bin1,person_emp_length_Bin1,cb_person_cred_hist_length_Bin1,loan_amnt_Bin1,loan_percent_income_Bin4,HOMEIMPROVEMENT_MEDICAL
79,115,24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4,person_age_Bin2,person_income_Bin1,person_emp_length_Bin1,cb_person_cred_hist_length_Bin1,loan_amnt_Bin1,loan_percent_income_Bin5,DEBTCONSOLIDATION
80,116,23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,Y,2,person_age_Bin2,person_income_Bin1,person_emp_length_Bin1,cb_person_cred_hist_length_Bin1,loan_amnt_Bin1,loan_percent_income_Bin3,DEBTCONSOLIDATION
81,117,22,42000,RENT,6.0,MEDICAL,D,25000,14.59,1,0.6,Y,2,person_age_Bin1,person_income_Bin3,person_emp_length_Bin4,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,HOMEIMPROVEMENT_MEDICAL
82,118,26,48000,RENT,2.0,EDUCATION,B,25000,9.64,1,0.52,N,4,person_age_Bin4,person_income_Bin3,person_emp_length_Bin2,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,EDUCATION
83,119,25,12996,OWN,1.0,MEDICAL,D,3600,14.59,1,0.28,N,3,person_age_Bin3,person_income_Bin1,person_emp_length_Bin1,cb_person_cred_hist_length_Bin1,loan_amnt_Bin1,loan_percent_income_Bin4,HOMEIMPROVEMENT_MEDICAL
84,120,22,12996,OWN,1.0,EDUCATION,B,4750,10.77545000000001,1,0.37,N,3,person_age_Bin1,person_income_Bin1,person_emp_length_Bin1,cb_person_cred_hist_length_Bin1,loan_amnt_Bin1,loan_percent_income_Bin5,EDUCATION
85,121,25,42360,RENT,1.0,EDUCATION,E,25000,16.35,1,0.59,Y,3,person_age_Bin3,person_income_Bin3,person_emp_length_Bin1,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,EDUCATION
86,122,21,49000,RENT,4.0,EDUCATION,B,25000,10.99,1,0.51,N,2,person_age_Bin1,person_income_Bin3,person_emp_length_Bin3,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,EDUCATION
87,127,22,49464,RENT,5.0,PERSONAL,B,25000,11.83,1,0.51,N,3,person_age_Bin1,person_income_Bin3,person_emp_length_Bin4,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,PERSONAL
88,128,23,50000,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,N,3,person_age_Bin2,person_income_Bin3,person_emp_length_Bin1,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,DEBTCONSOLIDATION
89,129,25,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,N,2,person_age_Bin3,person_income_Bin3,person_emp_length_Bin3,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,HOMEIMPROVEMENT_MEDICAL
90,130,24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,N,2,person_age_Bin2,person_income_Bin3,person_emp_length_Bin2,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,DEBTCONSOLIDATION
91,131,23,50000,RENT,1.0,VENTURE,B,25000,11.83,1,0.5,N,4,person_age_Bin2,person_income_Bin3,person_emp_length_Bin1,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,VENTURE
92,132,22,50004,RENT,0.0,VENTURE,B,25000,10.36,1,0.5,N,2,person_age_Bin1,person_income_Bin3,person_emp_length_Bin1,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,VENTURE
93,133,22,50004,RENT,3.0,VENTURE,C,25000,12.23,1,0.5,N,3,person_age_Bin1,person_income_Bin3,person_emp_length_Bin3,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,VENTURE
94,134,22,52000,RENT,2.0,EDUCATION,B,25000,11.11,1,0.48,N,4,person_age_Bin1,person_income_Bin3,person_emp_length_Bin2,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,EDUCATION
95,135,23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,N,4,person_age_Bin2,person_income_Bin1,person_emp_length_Bin3,cb_person_cred_hist_length_Bin1,loan_amnt_Bin1,loan_percent_income_Bin5,DEBTCONSOLIDATION
96,142,23,52000,RENT,1.0,PERSONAL,C,25000,13.22,1,0.48,N,2,person_age_Bin2,person_income_Bin3,person_emp_length_Bin1,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,PERSONAL
97,143,26,46000,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,N,4,person_age_Bin4,person_income_Bin3,person_emp_length_Bin2,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,DEBTCONSOLIDATION
98,144,22,53000,RENT,5.0,EDUCATION,C,25000,13.43,1,0.47,Y,4,person_age_Bin1,person_income_Bin3,person_emp_length_Bin4,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,EDUCATION
99,145,26,47000,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,1,0.53,Y,2,person_age_Bin4,person_income_Bin3,person_emp_length_Bin1,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,HOMEIMPROVEMENT_MEDICAL
100,146,23,47000,RENT,1.0,VENTURE,E,25000,17.93,1,0.53,N,2,person_age_Bin2,person_income_Bin3,person_emp_length_Bin1,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,VENTURE
101,147,23,13200,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0,0.11,N,4,person_age_Bin2,person_income_Bin1,person_emp_length_Bin2,cb_person_cred_hist_length_Bin1,loan_amnt_Bin1,loan_percent_income_Bin2,EDUCATION
102,148,21,13200,OWN,0.0,VENTURE,C,4500,12.98,1,0.34,N,4,person_age_Bin1,person_income_Bin1,person_emp_length_Bin1,cb_person_cred_hist_length_Bin1,loan_amnt_Bin1,loan_percent_income_Bin5,VENTURE
103,151,26,48000,RENT,5.0,VENTURE,F,25000,18.43,1,0.52,N,2,person_age_Bin4,person_income_Bin3,person_emp_length_Bin4,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,VENTURE
104,152,22,54996,RENT,6.0,EDUCATION,B,25000,11.101149999999995,1,0.45,N,4,person_age_Bin1,person_income_Bin4,person_emp_length_Bin4,cb_person_cred_hist_length_Bin1,loan_amnt_Bin5,loan_percent_income_Bin5,EDUCATION
